BuffID	BuffDesc	IsSaved	IsRecorded	IsDeleted	IsOverlapped	OverlapTyp	EffectTyp	EffectPara	BuffPriority	BuffSpecialType	ActivateRound	IsDeleteSourceExit
40172	攻击+1（贯石斧）	1	1	1	1	1	3	107	3	1		
40173	攻击-1（赤兔）	1	1	1	1	1	3	108	3	1		
40174	体力+1（的卢）	1	1	1	1	1	3	109	3	1		
40175	造成1点伤害（爪黄飞电）	0	0	0	0		26	18	3			
40176	获得咆哮（诸葛连弩）	1	1	1	1	1	11	8	3			
40177	攻击减半（寒冰剑）	0	1	0	1	1	3	110	3			
40178	造成1点伤害（朱雀羽扇）	0	0	0	0		26	19	3			
40179	造成1点伤害（三尖两刃刀）	0	0	0	0		26	20	3			
40180	攻击+1（激将）	1	1	1	1	1	3	111	3	1	1	
40181	攻击+1（五谷丰登）	1	1	1	1	1	3	112	3	1		
40182	体力+1（五谷丰登）	1	1	1	1	1	2	113	3	1		
40183	体力+1（桃园结义）	1	1	1	1	1	2	114	3	1		
40184	攻击+1（铁索连环）	1	1	1	1	1	3	115	3	1		
40185	体力+1（铁索连环）	1	1	1	1	1	2	116	3	1		
40186	攻击+2（兵贵神速·贰）	1	1	1	1	1	3	117	3	1		
40187	体力+1（兵贵神速·贰）	1	1	1	1	1	2	118	3	1		
40188	攻击+3（借刀·贰）	1	1	1	1	1	3	119	3	1		
40189	体力+3（解甲归田·贰）	1	1	1	1	1	2	120	3	1		
40190	攻击+2（联军盛宴·贰）	1	1	1	1	1	3	121	3	1		
40191	体力+2（联军盛宴·贰）	1	1	1	1	1	2	122	3	1		
40192	造成2点伤害（万箭齐发·贰）	0	0	0	0		26	21	3			
40193	攻击-2（南蛮入侵·贰）	0	1	1	1	1	3	123	3			
40194	攻击+3（兵贵神速·叁）	1	1	1	1	1	3	124	3	1		
40195	体力+2（兵贵神速·叁）	1	1	1	1	1	2	125	3	1		
40196	攻击+5（借刀·叁）	1	1	1	1	1	3	126	3	1		
40197	体力+5（解甲归田·叁）	1	1	1	1	1	2	127	3	1		
40198	攻击+4（联军盛宴·叁）	1	1	1	1	1	3	128	3	1		
40199	体力+4（联军盛宴·叁）	1	1	1	1	1	2	129	3	1		
40200	体力+2（桃园结义·叁）	1	1	1	1	1	2	130	3	1		
40201	攻击+2（天降神兵·叁）	1	1	1	1	1	3	131	3	1		
40202	攻击+1（五谷丰登·叁）	1	1	1	1	1	3	132	3	1		
40203	体力+1（五谷丰登·叁）	1	1	1	1	1	2	133	3	1		
40204	攻击+3（铁索连环·叁）	1	1	1	1	1	3	134	3	1		
40205	体力+3（铁索连环·叁）	1	1	1	1	1	2	135	3	1		
40206	攻击永久+1（白衣渡江·叁）	1	1	1	1	1	3	136	3	1		
40207	体力永久+1（白衣渡江·叁）	1	1	1	1	1	2	137	3	1		
40208	造成9点伤害（闪电·叁）	0	0	0	0		26	22	3			
40209	造成1点伤害（苦肉计·叁）	0	0	0	0		26	23	3			
40210	攻击永久+2（苦肉计·叁）	1	1	1	1	1	3	138	3	1		
40211	体力永久+2（苦肉计·叁）	1	1	1	1	1	2	139	3	1		
40212	攻击+4（兵贵神速·肆）	1	1	1	1	1	3	140	3	1		
40213	体力+3（兵贵神速·肆）	1	1	1	1	1	2	141	3	1		
40214	攻击+7（借刀·肆）	1	1	1	1	1	3	142	3	1		
40215	体力+7（解甲归田·肆）	1	1	1	1	1	2	143	3	1		
40216	攻击+6（联军盛宴·肆）	1	1	1	1	1	3	144	3	1		
40217	体力+6（联军盛宴·肆）	1	1	1	1	1	2	145	3	1		
40218	造成4点伤害（万箭齐发·肆）	0	0	0	0		26	24	3			
40219	攻击-4（南蛮入侵·肆）	0	1	1	1	1	3	146	3			
40220	体力+4（桃园结义·肆）	1	1	1	1	1	2	147	3	1		
40221	攻击+4（天降神兵·肆）	1	1	1	1	1	3	148	3	1		
40222	攻击+2（五谷丰登·肆）	1	1	1	1	1	3	149	3	1		
40223	体力+2（五谷丰登·肆）	1	1	1	1	1	2	150	3	1		
40224	攻击+5（铁索连环·肆）	1	1	1	1	1	3	151	3	1		
40225	体力+5（铁索连环·肆）	1	1	1	1	1	2	152	3	1		
40226	造成6点伤害（火攻·肆）	0	0	0	0		26	25	3			
40227	造成4点伤害（决斗·肆）	0	0	0	0		26	26	3			
40228	攻击+2（以逸待劳·肆）	1	1	1	1	1	3	153	3	1		
40229	体力+2（以逸待劳·肆）	1	1	1	1	1	2	154	3	1		
40230	攻击+4（望梅止渴·肆）	0	1	1	1	1	3	155	3			
40231	体力+4（望梅止渴·肆）	0	1	1	1	1	2	156	3			
40232	攻击+8（兵贵神速·伍）	1	1	1	1	1	3	157	3	1		
40233	体力+8（兵贵神速·伍）	1	1	1	1	1	2	158	3	1		
40234	攻击+11（借刀·伍）	1	1	1	1	1	3	159	3	1		
40235	体力+10（解甲归田·伍）	1	1	1	1	1	2	160	3	1		
40236	攻击+10（联军盛宴·伍）	1	1	1	1	1	3	161	3	1		
40237	体力+10（联军盛宴·伍）	1	1	1	1	1	2	162	3	1		
40238	造成6点伤害（万箭齐发·伍）	0	0	0	0		26	27	3			
40239	攻击-6（南蛮入侵·伍）	0	1	1	1	1	3	163	3			
40240	体力+5（桃园结义·伍）	1	1	1	1	1	2	164	3	1		
40241	攻击+5（天降神兵·伍）	1	1	1	1	1	3	165	3	1		
40242	攻击+3（五谷丰登·伍）	1	1	1	1	1	3	166	3	1		
40243	体力+3（五谷丰登·伍）	1	1	1	1	1	2	167	3	1		
40244	攻击+7（铁索连环·伍）	1	1	1	1	1	3	168	3	1		
40245	体力+7（铁索连环·伍）	1	1	1	1	1	2	169	3	1		
40246	造成6点伤害（火攻·伍）	0	0	0	0		26	28	3			
40247	攻击永久+3（白衣渡江·伍）	1	1	1	1	1	3	170	3	1		
40248	体力永久+3（白衣渡江·伍）	1	1	1	1	1	2	171	3	1		
40249	造成9点伤害（闪电·伍）	0	0	0	0		26	29	3			
40250	造成1点伤害（苦肉计·伍）	0	0	0	0		26	30	3			
40251	攻击永久+4（苦肉计·伍）	1	1	1	1	1	3	172	3	1		
40252	体力永久+4（苦肉计·伍）	1	1	1	1	1	2	173	3	1		
40253	造成8点伤害（决斗·伍）	0	0	0	0		26	31	3			
40254	攻击+3（以逸待劳·伍）	1	1	1	1	1	3	174	3	1		
40255	体力+3（以逸待劳·伍）	1	1	1	1	1	2	175	3	1		
40256	攻击+1（瞒天过海）	1	1	1	1	1	3	176	3	1		
40257	体力+1（瞒天过海）	1	1	1	1	1	2	177	3	1		
40258	造成3点伤害（水淹七军）	0	0	0	0		26	32	3			
40259	造成10点伤害（万箭齐发·陆）	0	0	0	0		26	33	3			
40260	攻击-10（南蛮入侵·陆）	0	1	1	1	1	3	178	3			
40261	体力+6（桃园结义·陆）	1	1	1	1	1	2	179	3	1		
40262	攻击+6（天降神兵·陆）	1	1	1	1	1	3	180	3	1		
40263	攻击+4（五谷丰登·陆）	1	1	1	1	1	3	181	3	1		
40264	体力+4（五谷丰登·陆）	1	1	1	1	1	2	182	3	1		
40265	造成8点伤害（火攻·陆）	0	0	0	0		26	34	3			
40266	造成12点伤害（决斗·陆）	0	0	0	0		26	35	3			
40267	攻击+4（以逸待劳·陆）	1	1	1	1	1	3	183	3	1		
40268	体力+4（以逸待劳·陆）	1	1	1	1	1	2	184	3	1		
40269	攻击+4（望梅止渴·陆）	0	1	1	1	1	3	185	3			
40270	体力+4（望梅止渴·陆）	0	1	1	1	1	2	186	3			
40271	咆哮（望梅止渴·陆）	0	1	1	1	1	11	10	3			
40272	获得御策（无懈可击）	1	1	1	1	1	9	11	3			
40273	攻击永久+1（赤兔）	1	1	1	1	1	3	187	3	1		
40274	攻击+2（惊帆）	0	1	1	1	1	3	188	3	1		
40275	获得技能（赤兔）	0	1	1	1	1	8	7	3			
40276	攻击+1（大宛）	1	1	1	1	1	3	189	3	1		
40277	获得技能（绝影）	0	1	1	1	1	8	8	3			
40278	体力永久+1（绝影）	1	1	1	1	1	2	190	3	1		
40279	体力+3（爪黄飞电）	0	1	1	1	1	2	191	3	1		
40280	攻击+2（骅骝）	1	1	1	1	1	3	192	3	1		
40281	体力+2（骅骝）	1	1	1	1	1	2	193	3	1		
40282	获得咆哮（诸葛连弩）	0	1	1	1	1	11	12	3			
40283	获得技能（寒冰剑）	0	1	1	1	1	8	9	3			
40284	攻击减半（寒冰剑）	0	1	1	1	1	3	194	3			
40285	攻击+1（贯石斧）	1	1	1	1	1	3	195	3	1		
40286	获得顺劈（方天画戟）	0	1	1	1	1	13	13	3			
40287	获得技能（三尖两刃刀）	0	1	1	1	1	8	10	3			
40288	造成3点伤害（三尖两刃刀）	0	0	0	0		26	36	3			
40289	攻击+8（决讨）	0	1	1	1	1	3	196	3	1		
40290	攻击+1（激将）	0	1	1	1	1	3	197	3	1	1	
40291	攻击+1（辟境）	0	1	1	1	1	3	198	3	1		
40292	体力+1（辟境）	0	1	1	1	1	2	199	3	1		
40293	造成6点伤害（朱雀羽扇）	0	0	0	0		26	37	3			
40294	造成4点伤害（朱雀羽扇）	0	0	0	0		26	37	3			
40295	获得技能（青龙偃月刀）	0	1	1	1	1	8	12	3			
40296	获得技能（八卦阵）	0	1	1	1	1	8	13	3			
40297	攻击+4（乐不思蜀·肆）	1	1	1	1	1	3	200	3	1		
40298	体力+6（乐不思蜀·肆）	1	1	1	1	1	2	201	3	1		
40299	无法攻击（乐不思蜀·肆）	1	1	1	1	1	32	14	3			
40300	攻击+8（乐不思蜀·陆）	1	1	1	1	1	3	202	3	1		
40301	体力+12（乐不思蜀·陆）	1	1	1	1	1	2	203	3	1		
40302	无法攻击（乐不思蜀·陆）	1	1	1	1	1	32	15	3			
40303	体力变为1（鸩毒）	0	1	1	1	1	2	204	3			
40304	咆哮	1	1	1	1	1	11	16	3			
40305	御策	1	1	1	1	1	9	17	3			
40306	攻击永久+3	1	1	1	1	1	3	205	3	1		
40307	体力永久+3	1	1	1	1	1	2	206	3	1		
40308	咆哮	1	1	1	1	1	11	18	3			
40309	御策	1	1	1	1	1	9	19	3			
40310	攻击永久+6	1	1	1	1	1	3	207	3	1		
40311	体力永久+6	1	1	1	1	1	2	208	3	1		
40312	攻击+2	1	1	1	1	1	3	209	3	1		
40313	体力+1	1	1	1	1	1	2	210	3	1		
40314	攻击+4	1	1	1	1	1	3	211	3	1		
40315	体力+2	1	1	1	1	1	2	212	3	1		
40316	触发其杀绝效果	0	0	0	0		27	8	3			
40317	触发其杀绝效果2次	0	0	0	0		27	9	3			
40318	每触发过1次杀绝效果，攻击+1	1	1	1	1	1	3	213	3	1		
40319	每触发过1次杀绝效果，体力+1	1	1	1	1	1	2	214	3	1		
40320	每触发过1次杀绝效果，攻击+2	1	1	1	1	1	3	215	3	1		
40321	每触发过1次杀绝效果，体力+2	1	1	1	1	1	2	216	3	1		
40322	获得1虎符	0	0	0	0		4	4	3			
40323	获得2虎符	0	0	0	0		4	5	3			
40324	获得1张锦囊牌	0	0	0	0		6	4	3			
40325	获得2张锦囊牌	0	0	0	0		6	5	3			
40326	攻击+1	1	1	1	1	1	3	217	3	1		
40327	体力+1	1	1	1	1	1	2	218	3	1		
40328	攻击+2	1	1	1	1	1	3	219	3	1		
40329	体力+2	1	1	1	1	1	2	220	3	1		
40330	咆哮	1	1	1	1	1	11	20	3			
40331	攻击+2	0	1	1	1	1	3	221	3	1		
40332	咆哮	1	1	1	1	1	11	21	3			
40333	攻击+4	0	1	1	1	1	3	222	3	1		
40334	攻击+1	1	1	1	1	1	3	223	3	1		
40335	体力+1	1	1	1	1	1	2	224	3	1		
40336	攻击+2	1	1	1	1	1	3	225	3	1		
40337	体力+2	1	1	1	1	1	2	226	3	1		
40338	触发杀绝	0	0	0	0		27	10	3			
40339	触发杀绝2次	0	0	0	0		27	11	3			
40340	获得1虎符	0	0	0	0		4	6	3			
40341	获得1虎符	0	0	0	0		4	7	3			
40342	获得2虎符	0	0	0	0		4	8	3			
40343	获得2虎符	0	0	0	0		4	9	3			
40344	获得2虎符	0	0	0	0		4	10	3			
40345	获得4虎符	0	0	0	0		4	11	3			
40346	御策	1	1	1	1	1	9	22	3			
40347	获得1虎符	0	0	0	0		4	12	3			
40348	御策	1	1	1	1	1	9	23	3			
40349	获得2虎符	0	0	0	0		4	13	3			
40350	获得：杀绝：永久+1/+1	0	1	1	1	1	8	14	3			
40351	攻击永久+1	1	1	1	1	1	3	227	3	1		
40352	体力永久+1	1	1	1	1	1	2	228	3	1		
40353	获得：杀绝：永久+2/+2	0	1	1	1	1	8	15	3			
40354	攻击永久+2	1	1	1	1	1	3	229	3	1		
40355	体力永久+2	1	1	1	1	1	2	230	3	1		
40356	攻击+3	0	1	1	1	1	3	231	3	1		
40357	攻击+6	0	1	1	1	1	3	232	3	1		
40358	攻击+2	1	1	1	1	1	3	233	3	1		
40359	体力+1	1	1	1	1	1	2	234	3	1		
40360	攻击+4	1	1	1	1	1	3	235	3	1		
40361	体力+2	1	1	1	1	1	2	236	3	1		
40362	攻击永久+1	1	1	1	1	1	3	237	3	1		
40363	体力永久+1	1	1	1	1	1	2	238	3	1		
40364	攻击永久+2	1	1	1	1	1	3	239	3	1		
40365	体力永久+2	1	1	1	1	1	2	240	3	1		
40366	挑衅	1	1	1	1	1	16	24	3			
40367	挑衅	1	1	1	1	1	16	25	3			
40368	造成3点伤害	0	0	0	0		26	38	3			
40369	造成3点伤害	0	0	0	0		26	39	3			
40370	免疫伤害添加	1	1	1	1	1	30	26	3			
40371	免疫伤害移除	1	1	1	1	1	30	27	3			
40372	顺劈	1	1	1	1	1	13	28	3			
40373	体力+12	1	1	1	1	1	2	241	3	1		
40374	体力+24	1	1	1	1	1	2	242	3	1		
40375	攻击+2	1	1	1	1	1	3	243	3	1		
40376	体力+2	1	1	1	1	1	2	244	3	1		
40377	攻击+4	1	1	1	1	1	3	245	3	1		
40378	体力+4	1	1	1	1	1	2	246	3	1		
40379	变成金色	0	0	0	0		33		3			
40380	挑选1张等级5的武将	0	0	0	0		28	1	3			
40381	挑选1张等级5的武将2次	0	0	0	0		28	2	3			
40382	挑选1张等级6的锦囊牌	0	0	0	0		28	3	3			
40383	挑选1张等级6的锦囊牌2次	0	0	0	0		28	4	3			
40384	触发招募结束效果1次	0	0	0	0		27	12	3			
40385	触发招募结束效果2次	0	0	0	0		27	13	3			
40386	攻击+3	1	1	1	1	1	3	247	3	1		
40387	体力+3	1	1	1	1	1	2	248	3	1		
40388	攻击+6	1	1	1	1	1	3	249	3	1		
40389	体力+6	1	1	1	1	1	2	250	3	1		
40390	触发遗计1次	0	0	0	0		27	14	3			
40391	触发遗计2次	0	0	0	0		27	15	3			
40392	触发当先1次	0	0	0	0		27	16	3			
40393	触发当先2次	0	0	0	0		27	17	3			
40394	攻击永久+1	1	1	1	1	1	3	251	3	1		
40395	体力永久+1	1	1	1	1	1	2	252	3	1		
40396	攻击永久+2	1	1	1	1	1	3	253	3	1		
40397	体力永久+2	1	1	1	1	1	2	254	3	1		
40398	攻击+6	0	1	1	1	1	3	255	3	1		
40399	体力+6	0	1	1	1	1	2	256	3	1		
40400	攻击+12	0	1	1	1	1	3	257	3	1		
40401	体力+12	0	1	1	1	1	2	258	3	1		
40402	挑衅	1	1	1	1	1	16	29	3			
40403	挑衅	1	1	1	1	1	16	30	3			
40404	御策	1	1	1	1	1	9	31	3			
40405	获得御策	0	1	1	1	1	9	32	3			
40406	御策	1	1	1	1	1	9	33	3			
40407	获得御策	0	1	1	1	1	9	34	3			
40408	挑衅	1	1	1	1	1	16	35	3			
40409	攻击+2	1	1	1	1	1	3	259	3	1		
40410	体力+3	1	1	1	1	1	2	260	3	1		
40411	挑衅	1	1	1	1	1	16	36	3			
40412	攻击+4	1	1	1	1	1	3	261	3	1		
40413	体力+6	1	1	1	1	1	2	262	3	1		
40414	咆哮	1	1	1	1	1	11	37	3			
40415	攻击+4	1	1	1	1	1	3	263	3			
40416	咆哮	1	1	1	1	1	11	38	3			
40417	攻击+8	1	1	1	1	1	3	264	3			
40418	营帐升级消耗的虎符-1	0	0	0	0		31	3	3			
40419	营帐升级消耗的虎符-2	0	0	0	0		31	4	3			
40420	挑衅	1	1	1	1	1	16	39	3			
40421	攻击+1	0	1	1	1	1	3	265	3	1		
40422	挑衅	1	1	1	1	1	16	40	3			
40423	攻击+2	0	1	1	1	1	3	266	3	1		
40424	攻击+2	0	1	1	1	1	3	267	3	1		
40425	体力+1	0	1	1	1	1	2	268	3	1		
