ChessID	ChessName	ChessType	MinionType	Gender	ChessRank	DefaultATK	DefaultDEF	ChessSkill	DefaultSkin	ChessSkillDesc	IsShop	RelateUpgradeChessID	SeasonID	IsAvailable	IsInRandomPool	UpgradDialogSoundEffect	ChessStrategy	IsWildCard	ChessSkillSecondDesc	ChessSpecialType	IsSpecialExclusiveChess	ChessScore	ChessRookieType	ChessTag	BroadcastDialog	GodChessType
201114	吕蒙	2	3	1	5	6	6	[2011141]	lvmeng	招募结束时，手牌上限+1且获得等于你手牌数的属性值	1	201214	1	1	1	['lvmeng']										
201214	吕蒙	1	3	1	5	12	12	[2012141]	lvmeng	招募结束时，手牌上限+2且获得等于你手牌数2倍的属性值	0		1	1	0	['lvmeng']										
201115	孙坚	2	3	1	4	4	4	[2011151]	sunjian	当先：移除1个友方，获得1张随机吴势力武将牌	1	201215	1	1	1	['sunjian']										
201215	孙坚	1	3	1	4	8	8	[2012151]	sunjian	当先：移除1个友方，获得2张随机吴势力武将牌	0		1	1	0	['sunjian']										
201116	太史慈	2	3	1	6	9	9	[2011161, 2011162]	taishici	咆哮。攻击时，先对随机敌方造成等于本武将攻击的伤害	1	201216	1	1	1	['taishici']										
201216	太史慈	1	3	1	6	18	18	[2012161, 2012162]	taishici	咆哮。攻击时，先对随机敌方造成等于本武将攻击的伤害2次	0		1	1	0	['taishici']										
201117	大乔	2	3	2	5	2	6	[2011171]	daqiao	战斗开始时，使攻击最高的敌方获得无法攻击	1	201217	1	1	1	['daqiao']										
201217	大乔	1	3	2	5	4	12	[2012171]	daqiao	战斗开始时，使攻击最高的敌方获得无法攻击	0		1	1	0	['daqiao']										
201118	孙皓	2	3	1	6	8	8	[2011181]	sunhao	战斗开始时，获得手牌中全体武将的属性值	1	201218	1	1	1	['sunhao']										
201218	孙皓	1	3	1	6	16	16	[2012181]	sunhao	战斗开始时，获得手牌中全体武将的属性值2次	0		1	1	0	['sunhao']										
201119	祖茂	2	3	1	6	8	8	[2011191]	zumao	招募结束时，移除手牌中1个随机武将，使3个随机吴势力友方获得+8/+8	1	201219	1	1	1	['zumao']										
201219	祖茂	1	3	1	6	16	16	[2012191]	zumao	招募结束时，移除手牌中1个随机武将，使3个随机吴势力友方获得+16/+16	0		1	1	0	['zumao']										
201120	刀斧手	2	3	1	1	1	1		daofushou		0	201220	1	1	0	['daofushou']										
201220	刀斧手	1	3	1	1	2	2		daofushou		0		1	1	0	['daofushou']										
201121	解烦卫	2	3	1	1	3	3	[2011211, 2011212]	jiefanwei	挑衅。御策	0	201221	1	1	0	['jiefanwei']										
201221	解烦卫	1	3	1	1	6	6	[2012211, 2012212]	jiefanwei	挑衅。御策	0		1	1	0	['jiefanwei']										
201122	锦帆军	2	3	1	1	3	1	[2011221, 2011222]	jinfanjun	攻击时免疫伤害	0	201222	1	1	0	['jinfanjun']										
201222	锦帆军	1	3	1	1	6	2	[2012221, 2012222]	jinfanjun	攻击时免疫伤害	0		1	1	0	['jinfanjun']										
201123	东吴水兵	2	3	1	1	2	2		dongwushuibing		0	201223	1	1	0											
201223	东吴水兵	1	3	1	1	4	4		dongwushuibing		0		1	1	0											
202101	曹休	2	1	1	2	1	4	[2021011]	caoxiu	受到伤害时，永久获得攻击+1	0	202201	1	0	0	['caoxiu']										
202201	曹休	1	1	1	2	2	8	[2022011]	caoxiu	受到伤害时，永久获得攻击+2	0		1	0	0	['caoxiu']										
202102	夏侯惇	2	1	1	1	1	3	[2021021]	xiahoudun	受到伤害时，对随机敌方造成2点伤害	1	202202	1	1	1	['xiahoudun']	推荐：受伤可以反伤，前期战斗力强									
202202	夏侯惇	1	1	1	1	2	6	[2022021]	xiahoudun	受到伤害时，对随机敌方造成4点伤害	0		1	1	0	['xiahoudun']										
202103	王异	2	1	2	2	2	2	[2021031]	wangyi	招募结束时，使全体友方获得+1体力	1	202203	1	1	1	['wangyi']										
202203	王异	1	1	2	2	4	4	[2022031]	wangyi	招募结束时，使全体友方获得+2体力	0		1	1	0	['wangyi']										
202104	于禁	2	1	1	2	2	3	[2021041]	yujin	受到伤害时，上阵1个“近卫”	1	202204	1	0	0	['yujin']										
202204	于禁	1	1	1	2	4	6	[2022041]	yujin	受到伤害时，上阵1个金色“近卫”	0		1	0	0	['yujin']										
202105	诸葛诞	2	1	1	2	3	1	[2021051]	zhugedan	敌方阵亡后，本武将永久获得体力+1	0	202205	1	0	0	['zhugedan']										
202205	诸葛诞	1	1	1	2	6	2	[2022051]	zhugedan	敌方阵亡后，本武将永久获得体力+2	0		1	0	0	['zhugedan']										
202106	段巧笑	2	1	2	2	3	3	[2021061]	duanqiaoxiao	招募结束时，进行判定：50%几率获得+2/+3	1	202206	1	1	1	['duanqiaoxiao']										
202206	段巧笑	1	1	2	2	6	6	[2022061]	duanqiaoxiao	招募结束时，进行判定：50%几率获得+4/+6	0		1	1	0	['duanqiaoxiao']										
202107	司马朗	2	1	1	3	2	3	[2021071]	simalang	友方触发招募结束效果时，使其获得+1/+2	1	202207	1	0	0	['simalang']										
202207	司马朗	1	1	1	3	4	6	[2022071]	simalang	友方触发招募结束效果时，使其获得+2/+4	0		1	0	0	['simalang']										
202108	荀彧	2	1	1	3	1	6	[2021081]	xunyu	受到伤害时，使全体魏势力友方获得+1/+1	1	202208	1	1	1	['xunyu']										
202208	荀彧	1	1	1	3	2	12	[2022081]	xunyu	受到伤害时，使全体魏势力友方获得+2/+2	0		1	1	0	['xunyu']										
202109	张郃	2	1	1	3	3	5	[2021091, 2021092]	zhanghe	友方判定成功后，使其永久获得+2/+2，否则永久获得体力+1	1	202209	1	1	1	['zhanghe']										
202209	张郃	1	1	1	3	6	10	[2022091, 2022092]	zhanghe	友方判定成功后，使其永久获得+4/+4，否则永久获得体力+2	0		1	1	0	['zhanghe']										
202110	曹丕	2	1	1	6	8	8	[2021101]	caopi	友方判定成功时，自身永久获得+4/+5	1	202210	1	1	1	['caopi']										
202210	曹丕	1	1	1	6	16	16	[2022101]	caopi	友方判定成功时，自身永久获得+8/+10	0		1	1	0	['caopi']										
202111	邓艾	2	1	1	4	3	5	[2021111]	dengai	招募结束时，进行判定：75%几率获得2枚虎符	1	202211	1	1	1	['dengai']										
202211	邓艾	1	1	1	4	6	10	[2022111]	dengai	招募结束时，进行判定：75%几率获得4枚虎符	0		1	1	0	['dengai']										
202112	甄姬	2	1	2	4	4	5	[2021121]	zhenji	战斗开始时，进行判定：50%几率永久获得+2/+2并再次判定（至多6次）	1	202212	1	1	1	['zhenji']										
202212	甄姬	1	1	2	4	8	10	[2022121]	zhenji	战斗开始时，进行判定：50%几率永久获得+4/+4并再次判定（至多6次）	0		1	1	0	['zhenji']										
202113	郭嘉	2	1	1	4	2	2	[2021131]	guojia	遗计：获得1张随机锦囊牌	1	202213	1	1	1	['guojia']										
202213	郭嘉	1	1	1	4	4	4	[2022131]	guojia	遗计：获得2张随机锦囊牌	0		1	1	0	['guojia']										
202114	曹仁	2	1	1	5	6	6	[2021141]	caoren	招募结束时，使全体魏势力友方获得+2/+3	1	202214	1	1	1	['caoren']										
202214	曹仁	1	1	1	5	12	12	[2022141]	caoren	招募结束时，使全体魏势力友方获得+4/+6	0		1	1	0	['caoren']										
202115	典韦	2	1	1	4	3	7	[2021151, 2021152]	dianwei	挑衅。受到攻击时，先对其他武将造成1点伤害	1	202215	1	1	1	['dianwei']										
202215	典韦	1	1	1	4	6	14	[2022151, 2022152]	dianwei	挑衅，受到攻击时，先对其他武将造成1点伤害2次	0		1	1	0	['dianwei']										
202116	戏志才	2	1	1	5	3	8	[2021161]	xizhicai	受到伤害时，进行判定：50%几率使全体友方永久获得+2/+3	1	202216	1	1	1	['xizhicai']										
202216	戏志才	1	1	1	5	6	16	[2022161]	xizhicai	受到伤害时，进行判定：50%几率使全体友方永久获得+4/+6	0		1	1	0	['xizhicai']										
202117	曹金玉	2	1	2	6	3	10	[2021171]	caojinyu	魏势力友方受到伤害时，使2个随机魏势力友方永久获得+1/+1	1	202217	1	1	1	['caojinyu']										
202217	曹金玉	1	1	2	6	6	20	[2022171]	caojinyu	魏势力友方受到伤害时，使2个随机魏势力友方永久获得+2/+2	0		1	1	0	['caojinyu']										
202118	司马懿	2	1	1	5	2	6	[2021181]	simayi	友方判定时，必定成功	1	202218	1	1	1	['simayi']										
202218	司马懿	1	1	1	5	4	12	[2022181, 2022182]	simayi	友方判定时，必定成功且使其获得永久+2/+2	0		1	1	0	['simayi']										
202119	钟会	2	1	1	6	6	10	[2021191]	zhonghui	魏势力友方受到伤害时，自身永久获得+1/+2	1	202219	1	1	1	['zhonghui']										
202219	钟会	1	1	1	6	12	20	[2022191]	zhonghui	魏势力友方受到伤害时，自身永久获得+2/+4	0		1	1	0	['zhonghui']										
202120	近卫	2	1	1	1	1	2	[2021201]	jinwei	挑衅	0	202220	1	0	0	['jinwei']										
202220	近卫	1	1	1	1	2	4	[2022201]	jinwei	挑衅	0		1	0	0	['jinwei']										
202121	许褚	2	1	1	1	2	3	[2021211]	xuchu	攻击时，获得攻击+2	1	202221	1	1	1	['xuchu']										
202221	许褚	1	1	1	1	4	6	[2022211]	xuchu	攻击时，获得攻击+4	0		1	1	0	['xuchu']										
202122	李典	2	1	1	2	2	3	[2021221]	lidian	战斗开始时，对相邻友方造成1点伤害，使其获得+3/+1	1	202222	1	1	1	['lidian']										
202222	李典	1	1	1	2	4	6	[2022221]	lidian	战斗开始时，对相邻友方造成1点伤害，使其获得+6/+2	0		1	1	0	['lidian']										
202123	薛灵芸	2	1	2	3	3	5	[2021231]	xuelingyun	受到伤害时，进行判定：50%几率永久获得+1/+2	1	202223	1	1	1	['xuelingyun']										
202223	薛灵芸	1	1	2	3	6	10	[2022231]	xuelingyun	受到伤害时，进行判定：50%几率永久获得+2/+4	0		1	1	0	['xuelingyun']										
202124	王双	2	1	1	3	3	6	[2021241, 2021242]	wangshuang	咆哮。攻击时，进行判定：50%几率获得等于自身体力的攻击	1	202224	1	1	1	['wangshuang']										
202224	王双	1	1	1	3	6	12	[2022241, 2022242]	wangshuang	咆哮。攻击时，进行判定：50%几率获得等于自身体力2倍的攻击	0		1	1	0	['wangshuang']										
203101	刘虞	2	4	1	1	2	3	[2031011]	liuyu	遣散后，使升级营帐消耗的虎符数-1	0	203201	1	0	0	['liuyu']										
203201	刘虞	1	4	1	1	4	6	[2032011]	liuyu	遣散后，使升级营帐消耗的虎符数-2	0		1	0	0	['liuyu']										
203102	王粲	2	4	1	2	3	2	[2031021]	wangcan	遗计：使全体敌方获得-1/-1	1	203202	1	1	1	['wangcan']										
203202	王粲	1	4	1	2	6	4	[2032021]	wangcan	遗计：使全体敌方获得-2/-2	0		1	1	0	['wangcan']										
203103	许贡	2	4	1	2	3	1	[2031031]	xugong	遗计：上阵3个刺客	1	203203	1	1	1	['xugong']										
203203	许贡	1	4	1	2	6	2	[2032031]	xugong	遗计：上阵3个金色刺客	0		1	1	0	['xugong']										
203104	邹氏	2	4	2	2	2	2	[2031041]	zoushi	招募结束时，使升级营帐消耗的虎符数-1	1	203204	1	1	1	['zoushi']										
203204	邹氏	1	4	2	2	4	4	[2032041]	zoushi	招募结束时，使升级营帐消耗的虎符数-2	0		1	1	0	['zoushi']										
203105	蔡邕	2	4	1	3	4	4	[2031051]	caiyong	遣散后，挑选1张锦囊牌（不高于当前营帐等级）	1	203205	1	1	1	['caiyong']										
203205	蔡邕	1	4	1	3	8	8	[2032051]	caiyong	遣散后，挑选1张锦囊牌2次	0		1	1	0	['caiyong']										
203106	陈登	2	4	1	3	4	3	[2031061, 2031062]	chendeng	御策。遗计：使1个友方获得御策	1	203206	1	1	1	['chedneng']										
203206	陈登	1	4	1	3	8	6	[2032061, 2032062]	chendeng	御策。遗计：使2个其他友方获得御策	0		1	1	0	['chendeng']										
203107	士燮	2	4	1	4	2	2	[2031071]	shixie	当先：使相邻友方获得挑衅与+1/+2	1	203207	1	1	1	['shixie']										
203207	士燮	1	4	1	4	4	4	[2032071]	shixie	当先：使相邻友方获得挑衅与+2/+4	0		1	1	0	['shixie']										
203108	邢道荣	2	4	1	3	3	5	[2031081, 2031082]	xingdaorong	挑衅。受到伤害时，使全体友方获得攻击+1	1	203208	1	1	1	['xingdaorong']										
203208	邢道荣	1	4	1	3	6	10	[2032081, 2032082]	xingdaorong	挑衅。受到伤害时，使全体友方获得攻击+2	0		1	1	0	['xingdaorong']										
203109	胡车儿	2	4	1	3	3	3	[2031091]	hucheer	战斗开始时，使攻击最高的敌方获得攻击-8	1	203209	1	1	1	['hucheer']										
203209	胡车儿	1	4	1	3	6	6	[2032091]	hucheer	战斗开始时，使攻击最高的敌方获得攻击-16	0		1	1	0	['hucheer']										
203110	潘凤	2	4	1	4	3	5	[2031101, 2031102]	panfeng	挑衅。当先：使具有挑衅的友方获得+2/+3	1	203210	1	1	1	['panfeng']										
203210	潘凤	1	4	1	4	6	10	[2032101, 2032102]	panfeng	挑衅。当先：使具有挑衅的友方获得+4/+6	0		1	1	0	['panfeng']										
203111	司马徽	2	4	1	4	6	6	[2031111]	simahui	当先：将1个友方变化为等级+1的武将	1	203211	1	1	1	['simahui']										
203211	司马徽	1	4	1	4	12	12	[2032111]	simahui	当先：将1个友方变化为等级+2的武将	0		1	1	0	['simahui']										
203112	吴普	2	4	1	4	2	3	[2031121]	wupu	战斗开始时，使全体友方获得+3/+3	1	203212	1	1	1	['wupu']										
203212	吴普	1	4	1	4	4	6	[2032121]	wupu	战斗开始时，使全体友方获得+6/+6	0		1	1	0	['wupu']										
203113	蔡文姬	2	4	2	5	2	5	[2031131]	caiwenji	遗计：使击败你的武将的属性变为1/1	1	203213	1	1	1	['caiwenji']										
203213	蔡文姬	1	4	2	5	4	10	[2032131]	caiwenji	遗计：使击败你的武将的属性变为1/1	0		1	1	0	['caiwenji']										
203114	陈珪	2	4	1	5	3	5	[2031141]	chengui	敌方攻击时，使其获得-3/-3，右侧友方获得+3/+3	1	203214	1	1	1	['chengui']										
203214	陈珪	1	4	1	5	6	10	[2032141]	chengui	敌方攻击时，使其获得-6/-6，右侧友方获得+6/+6	0		1	1	0	['chengui']										
203115	韩馥	2	4	1	5	6	6	[2031154, 2031151]	hanfu	挑衅。招募结束时，使具有挑衅的友方获得+3/+3	1	203215	1	1	1	['hanfu']										
203215	韩馥	1	4	1	5	12	12	[2032154, 2032151]	hanfu	挑衅。招募结束时，使具有挑衅的友方获得+6/+6	0		1	1	0	['hanfu']										
203116	华佗	2	4	1	5	2	6	[2031161]	huatuo	当先：使1个友方获得体力+12	1	203216	1	1	1	['huatuo']										
203216	华佗	1	4	1	5	4	12	[2032161]	huatuo	当先：使1个友方获得体力+24	0		1	1	0	['huatuo']										
203117	刘表	2	4	1	5	2	5	[2031171]	liubiao	友方的招募结束效果额外触发1次	1	203217	1	1	1	['liubiao']										
203217	刘表	1	4	1	5	4	10	[2032171]	liubiao	友方的招募结束效果额外触发2次	0		1	1	0	['liubiao']										
203118	庞德公	2	4	1	5	2	5	[2031181]	pangdegong	遣散后，触发全体友方的招募结束效果	1	203218	1	1	1	['pangdegong']										
203218	庞德公	1	4	1	5	4	10	[2032181]	pangdegong	遣散后，触发其他友方的招募结束效果2次	0		1	1	0	['pangdegong']										
203119	于吉	2	4	1	5	1	7	[2031191]	yuji	友方的遗计效果额外触发1次	1	203219	1	1	1	['yuji']										
203219	于吉	1	4	1	5	2	14	[2032191]	yuji	友方的遗计效果额外触发2次	0		1	1	0	['yuji']										
203120	贾诩	2	4	1	6	8	8	[2031201]	jiaxu	当先：挑选1张等级6的锦囊牌	1	203220	1	1	1	['jiaxu']										
203220	贾诩	1	4	1	6	16	16	[2032201]	jiaxu	当先：挑选1张等级6的锦囊2次	0		1	1	0	['jiaxu']										
203121	吕布	2	4	1	6	10	10	[2031211, 2031212, 2031213]	lvbu	攻击时免疫伤害。攻击同时对目标两侧的武将造成伤害	1	203221	1	1	1	['lvbu']										
203221	吕布	1	4	1	6	20	20	[2032211, 2032212, 2032213]	lvbu	攻击时免疫伤害。攻击同时对目标两侧的武将造成伤害	0		1	1	0	['lvbu']										
203122	祢衡	2	4	1	5	3	4	[2031221]	miheng	友方的当先效果额外触发1次	1	203222	1	1	1	['miheng']										
203222	祢衡	1	4	1	5	6	8	[2032221]	miheng	友方的当先效果额外触发2次	0		1	1	0	['miheng']										
203123	南华老仙	2	4	1	6	4	8	[2031231]	nanhualaoxian	你使用锦囊牌后，使4个随机友方获得+2/+2	1	203223	1	1	1	['nanhualaoxian']										
203223	南华老仙	1	4	1	6	8	16	[2032231]	nanhualaoxian	你使用锦囊牌后，使4个随机友方获得+4/+4	0		1	1	0	['nanhualaoxian']										
203124	许劭	2	4	1	6	4	8	[2031241]	xushao	遣散后，挑选1张等级6的武将牌	1	203224	1	1	1	['xushao']										
203224	许劭	1	4	1	6	8	16	[2032241]	xushao	遣散后，挑选1个等级6的武将2次	0		1	1	0	['xushao']										
203125	左慈	2	4	1	6	4	4		zuoci	可以替代任意武将进行三连	1	203225	1	1	1	['zuoci']		1								
203225	左慈	1	4	1	6	8	8	[2032251]	zuoci	当先：将1个友方变为金色	0		1	1	0	['zuoci']										
203126	刺客	2	4	1	1	1	1		cike		0	203226	1	1	0	['cike']										
203226	刺客	1	4	1	1	2	2		cike		0		1	1	0	['cike']										
204101	吴兰	2	2	1	1	2	1	[2041011]	wulan	当先：上阵1个雷铜	1	204201	1	1	1	['wulan']	推荐：可以更容易获得三连									
204201	吴兰	1	2	1	1	4	2	[2042011]	wulan	当先：上阵2个雷铜	0		1	1	0	['wulan']										
204102	伊籍	2	2	1	1	3	2	[2041021]	yiji	当先：使1个友方获得+1/+1	1	204202	1	1	1	['yiji']										
204202	伊籍	1	2	1	1	6	4	[2042021]	yiji	当先：使1个友方获得+2/+2	0		1	1	0	['yiji']										
204103	糜夫人	2	2	2	2	3	3	[2041035]	mifuren	遣散后，使最左侧蜀势力友方获得本武将属性值	1	204203	1	1	1	['mifuren']										
204203	糜夫人	1	2	2	2	6	6	[2042035]	mifuren	遣散后，使最左侧蜀势力友方获得本武将属性值2次	0		1	1	0	['mifuren']										
204104	糜竺	2	2	1	2	3	2	[2041041]	mizhu	当先：使其他蜀势力友方获得体力+2	1	204204	1	1	1	['mizhu']										
204204	糜竺	1	2	1	2	6	4	[2042041]	mizhu	当先：使其他蜀势力友方获得体力+4	0		1	1	0	['mizhu']										
204105	魏延	2	2	1	2	4	2	[2041051]	weiyan	友方触发当先效果时，自身获得+1/+1	1	204205	1	1	1	['weiyan']										
204205	魏延	1	2	1	2	8	4	[2042051]	weiyan	友方触发当先效果时，自身获得+2/+2	0		1	1	0	['weiyan']										
204106	黄月英	2	2	2	3	4	3	[2041061]	huangyueying	你使用锦囊牌后，获得+2/+1	1	204206	1	1	1	['huangyueying']										
204206	黄月英	1	2	2	3	8	6	[2042061]	huangyueying	你使用锦囊牌后，获得+4/+2	0		1	1	0	['huangyueying']										
204107	庞统	2	2	1	3	3	1	[2041071, 2041072]	pangtong	御策。当先：挑选1张锦囊牌	1	204207	1	1	1	['pangtong']										
204207	庞统	1	2	1	3	6	2	[2042071, 2042072]	pangtong	御策。当先：挑选1张锦囊牌2次	0		1	1	0	['pangtong']										
204108	徐庶	2	2	1	3	4	3	[2041081]	xushu	遣散后，获得1张随机蜀势力武将牌	1	204208	1	1	1	['xushu']										
204208	徐庶	1	2	1	3	8	6	[2042081]	xushu	遣散后，获得2张随机蜀势力武将牌	0		1	1	0	['xushu']										
204109	张星彩	2	2	2	3	4	4	[2041091, 2041092]	zhangxingcai	咆哮。攻击后若存活，永久获得+1/+1	1	204209	1	1	1	['zhangxingcai']										
204209	张星彩	1	2	2	3	8	8	[2042091, 2042092]	zhangxingcai	咆哮。攻击后若存活，永久获得+2/+2	0		1	1	0	['zhangxingcai']										
204110	关平	2	2	1	5	6	6	[2041101]	guanping	友方攻击时，使全体蜀势力友方永久获得+1/+1	1	204210	1	1	1	['guanping']										
204210	关平	1	2	1	5	12	12	[2042101]	guanping	友方攻击时，使全体蜀势力友方永久获得+2/+2	0		1	1	0	['guanping']										
204111	刘巴	2	2	1	4	4	5	[2041111]	liuba	蜀势力友方触发当先效果时，进行判定：50%几率获得1枚虎符	1	204211	1	1	1	['liuba']										
204211	刘巴	1	2	1	4	8	10	[2042111]	liuba	蜀势力友方触发当先效果时，进行判定：50%几率获得2枚虎符	0		1	1	0	['liuba']										
204112	王平	2	2	1	4	4	3	[2041121]	wangping	当先：使其他蜀势力友方获得+3/+2	1	204212	1	1	1	['wangping']										
204212	王平	1	2	1	4	8	6	[2042121]	wangping	当先：使其他蜀势力友方获得+6/+4	0		1	1	0	['wangping']										
204113	赵云	2	2	1	4	7	7	[2041131]	zhaoyun	受到伤害时，获得+3/+3	1	204213	1	1	1	['zhaoyun']										
204213	赵云	1	2	1	4	14	14	[2042131]	zhaoyun	受到伤害时，获得+6/+6	0		1	1	0	['zhaoyun']										
204114	黄忠	2	2	1	4	2	5	[2041141, 2041142, 2041143]	huangzhong	攻击时免疫伤害。招募结束时，获得攻击+2	1	204214	1	1	1	['huangzhong']										
204214	黄忠	1	2	1	4	4	10	[2042141, 2042142, 2042143]	huangzhong	攻击时免疫伤害。招募结束时，获得攻击+4	0		1	1	0	['huangzhong']										
204115	张飞	2	2	1	5	8	6	[2041151, 2041152]	zhangfei	咆哮。攻击时，永久获得+4/+4	1	204215	1	1	1	['zhangfei']										
204215	张飞	1	2	1	5	16	12	[2042151, 2042152]	zhangfei	咆哮。攻击时，永久获得+8/+8	0		1	1	0	['zhangfei']										
204116	赵襄	2	2	2	5	7	7	[2041161]	zhaoxiang	当先：本局游戏每触发过1次当先效果，获得+1/+1	1	204216	1	1	1	['zhaoxiang']			（已触发次数：<font style='color:#de7904;'>{7}</font>）							
204216	赵襄	1	2	2	5	14	14	[2042161]	zhaoxiang	当先：本局游戏每触发过1次当先效果，获得+2/+2	0		1	1	0	['zhaoxiang']			（已触发次数：<font style='color:#de7904;'>{7}</font>）							
204117	关羽	2	2	1	6	4	12	[2041171, 2041172]	guanyu	攻击后若击败敌人，则再次发起攻击。破军：攻击翻倍	1	204217	1	1	1	['guanyu']										
204217	关羽	1	2	1	6	8	24	[2042171, 2042172]	guanyu	攻击后若击败敌人，则再次发起攻击。破军：攻击永久翻倍	0		1	1	0	['guanyu']										
204118	刘永	2	2	1	6	8	8	[2041181]	liuyong	友方触发当先效果时，使全体蜀势力友方获得+2/+1	1	204218	1	1	1	['liuyong']										
204218	刘永	1	2	1	6	16	16	[2042181]	liuyong	友方触发当先效果时，使全体蜀势力友方获得+4/+2	0		1	1	0	['liuyong']										
204119	诸葛亮	2	2	1	6	4	7	[2041191, 2041192]	zhugeliang	招募开始时，挑选1张锦囊牌。招募结束时，随机获得1张锦囊牌	1	204219	1	1	1	['zhugeliang']										
204219	诸葛亮	1	2	1	6	8	14	[2042191, 2042192]	zhugeliang	招募开始时，挑选1张锦囊牌。招募结束时，随机获得2张锦囊牌	0		1	1	0	['zhugeliang']										
204120	雷铜	2	2	1	1	1	1	[2041201]	leitong	挑衅	0	204220	1	1	0	['leitong']										
204220	雷铜	1	2	1	1	2	2	[2042201]	leitong	挑衅	0		1	1	0	['leitong']										
205101	卢植	2	6	1	1	3	1	[2051011]	luzhi	破军：对随机敌方造成2点伤害	1	205201	1	1	1	['luzhi']										
205201	卢植	1	6	1	1	6	2	[2052011]	luzhi	破军：对随机敌方造成2点伤害2次	0		1	1	0	['luzhi']										
