SkillID	SkillName	SkillDesc	IsScenarioSkill	IsRepeatedWork	SkillPriority	TriggerTyp	TriggerTimes	ActivateRatio	TargetTyp1	TargetPara1	SkillBuff1	AffiliatedSkill	ChessBuffTips	SkillTyp	ChessSkillKeyword	SkillShownName	ScenarioPara	IsHaloSkill	TriggerPara	RelatedSummonMinion	TargetTyp2	SkillBuff2	ActiveTips	TargetPara2	RelatedUpgradeSkillID	SkillOperatingServer	IsWorkInHand	IsGlobalSkill	SkillSpecialEffectType	EffectPlayPosition	TriggerTimesFunction	InheritUpgradSkill	IsTriggerDelete	IsMergeEffect	SkillTriggerCountLimit
2011071	顾雍	招募结束时，使手牌中2个随机吴势力武将获得+2/+3		1	3	3	1	100	17	20110712	[2011072, 2011073]		顾雍【秉壹】|+2/+3	[15]		秉壹																			
2012071	顾雍	招募结束时，使手牌中2个随机吴势力武将获得+4/+6		1	3	3	1	100	17	20120712	[2012072, 2012073]		顾雍【秉壹】|+4/+6	[15]		秉壹																			
2011081	黄盖	战斗开始时，受到1点伤害。		1	3	5	1	100	1		[2011083]																								
2011082	黄盖	受到伤害时，使手牌中攻击最高的武将永久获得+1/+1		1	3	35	1	100	18	20110822	[2011084, 2011085]		黄盖【苦肉】|+1/+1			苦肉			20110821																
2012081	黄盖	战斗开始时，受到1点伤害。		1	3	5	1	100	1		[2012083]																								
2012082	黄盖	受到伤害时，使手牌中攻击最高的武将永久获得+2/+2		1	3	35	1	100	18	20120822	[2012084, 2012085]		黄盖【苦肉】|+2/+2			苦肉			20120821																
2011091	张昭	武将被移除时，全体友方获得+2/+2		1	3	44	1	100	6	20110912	[2011092, 2011093]		张昭【固政】|+2/+2			固政			20110911																
2012091	张昭	武将被移除时，全体友方获得+4/+4		1	3	44	1	100	6	20120912	[2012092, 2012093]		张昭【固政】|+4/+4			固政			20120911																
2011101	韩当	武将被移除时，获得1张“解烦卫”		1	3	44	1	100	23		[2011102]					解烦			20111011	[201121]															
2012101	韩当	武将被移除时，获得2张“解烦卫”		1	3	44	1	100	23		[2012103]					解烦			20121011	[201121]															
2011111	凌统	本武将被移除后，回到手牌并永久获得+2/+2		1	3	51	1	100	1		[2011112, 2011113, 2011114]		凌统【旋风】|+2/+2			旋风																			
2012111	凌统	本武将被移除后，回到手牌并永久获得+4/+4		1	3	51	1	100	1		[2012112, 2012113, 2012114]		凌统【旋风】|+4/+4			旋风																			
2011121	孙策	当先：手牌中全体【吴】势力武将永久获得+4/+4		1	3	39	1	100	17	20111212	[2011122, 2011123]		孙策【激昂】|+4/+4	[3]	[3]	激昂																			
2012121	孙策	当先：手牌中全体【吴】势力武将永久获得+8/+8		1	3	39	1	100	17	20121212	[2012122, 2012123]		孙策【激昂】|+8/+8	[3]	[3]	激昂																			
2011131	周瑜	御策。战斗开始时，对随机3个敌方造成等同你手牌数的伤害		1	3	43	1	100	1		[2011133]			[7]	[7]																				
2011132	周瑜	御策。战斗开始时，对随机3个敌方造成等同你手牌数的伤害		1	3	5	1	100	7	20111322	[2011134]					反间																			
2012131	周瑜	御策。战斗开始时，对随机3个敌方造成等同你手牌数的伤害2次		1	3	43	1	100	1		[2012133]			[7]	[7]																				
2012132	周瑜	御策。战斗开始时，对随机3个敌方造成等同你手牌数的伤害2次		1	3	5	2	100	7	20121322	[2012134]					反间																			
2011141	吕蒙	招募结束时，手牌上限+1，获得等于你手牌数的属性值		1	3	3	1	100	23		[2011142]		吕蒙【克己】|获得等于手牌数的属性值	[15]		克己					1	[2011143, 2011144]													
2012141	吕蒙	招募结束时，手牌上限+2，获得等于你手牌数的属性值		1	3	3	1	100	23		[2012142]		吕蒙【克己】|获得等于手牌数的属性值	[15]		克己					1	[2012143, 2011144]													
2011151	孙坚	当先：移除1个友方，获得1张随机吴势力武将牌		1	3	39	1	100	21		[2011152]			[3]	[3]	英魂					23	[2011153]	选择一个友方移除，获得1张随机吴势力武将牌												
2012151	孙坚	当先：移除1个友方，获得2张随机吴势力武将牌		1	3	39	1	100	21		[2012152]			[3]	[3]	英魂					23	[2012153]	选择一个友方移除，获得2张随机吴势力武将牌												
2011161	太史慈	咆哮。攻击时，先对1个随机敌方造成等于本武将攻击力的伤害		1	3	43	1	100	1		[2011163]			[9]	[9]																				
2011162	太史慈	咆哮。攻击时，先对1个随机敌方造成等于本武将攻击力的伤害		1	3	9	1	100	7	20111622	[2011164]					天义			20111621																
2012161	太史慈	咆哮。攻击时，先对1个随机敌方造成等于本武将攻击力的伤害2次		1	3	43	1	100	1		[2012163]			[9]	[9]																				
2012162	太史慈	咆哮。攻击时，先对1个随机敌方造成等于本武将攻击力的伤害2次		1	3	9	2	100	7	20121622	[2012164]					天义			20121621																
2011171	大乔	战斗开始时，使攻击最高的敌方获得无法攻击		1	3	5	1	100	9	20111712	[2011172]		大乔【国色】|无法攻击		[14]	国色																			
2012171	大乔	战斗开始时，使攻击最高的敌方获得无法攻击		1	3	5	1	100	9	20121712	[2012172]		大乔【国色】|无法攻击		[14]	国色																			
2011181	孙皓	战斗开始时，获得手牌中全体武将的属性值		1	3	5	1	100	1		[2011182, 2011183]		孙皓【残蚀】|获得手牌中全体武将的属性值			残蚀																			
2012181	孙皓	战斗开始时，获得手牌中全体武将的属性值2次		1	3	5	2	100	1		[2012182, 2012183]		孙皓【残蚀】|获得手牌中全体武将的属性值2次			残蚀																			
2011191	祖茂	招募结束时，移除手牌中1个随机武将，使3个随机吴势力友方获得+8/+8		1	3	3	1	100	17	20111912	[2011192]		祖茂【引兵】|+8/+8	[15]		引兵					6	[2011193, 2011194]		20111913											
2012191	祖茂	招募结束时，移除手牌中1个随机武将，使3个随机吴势力友方获得+16/+16		1	3	3	1	100	17	20121912	[2012192]		祖茂【引兵】|+16/+16	[15]		引兵					6	[2012193, 2012194]		20121913											
2011211	解烦卫	挑衅。御策		1	3	43	1	100	1		[2011212]			[5]	[5]																				
2011212	解烦卫	御策		1	3	43	1	100	1		[2011213]			[7]	[7]																				
2012211	解烦卫	挑衅。御策		1	3	43	1	100	1		[2012212]			[5]	[5]																				
2012212	解烦卫	御策		1	3	43	1	100	1		[2012213]			[7]	[7]																				
2011221	锦帆军	攻击时免疫伤害		1	3	9	1	100	1		[2011223]								20112211																
2011222	锦帆军	攻击时免疫伤害		1	3	10	1	100	1		[2011224]								20112221																
2012221	锦帆军	攻击时免疫伤害		1	3	9	1	100	1		[2012223]								20122211																
2012222	锦帆军	攻击时免疫伤害		1	3	10	1	100	1		[2012224]								20122221																
2021011	曹休	受到伤害时，永久获得攻击+1		1	3	35	1	100	1		[2021012]		曹休【千驹】|攻击+1			千驹			20210111																
2022011	曹休	受到伤害时，永久获得攻击+2		1	3	35	1	100	1		[2022012]		曹休【千驹】|攻击+2			千驹			20220111																
2021021	夏侯惇	受到伤害时，对随机敌方造成2点伤害		1	3	35	1	100	7	20210212	[2021022]					刚烈			20210211																
2022021	夏侯惇	受到伤害时，对随机敌方造成4点伤害		1	3	35	1	100	7	20220212	[2022022]					刚烈			20220211																
2021031	王异	招募结束时，使全体友方获得+1体力		1	3	3	1	100	6	20210312	[2021032]		王异【秘计】|体力+1	[15]		秘计																			
2022031	王异	招募结束时，使全体友方获得+2体力		1	3	3	1	100	6	20220312	[2022032]		王异【秘计】|体力+2	[15]		秘计																			
2021041	于禁	受到伤害时，上阵1个“近卫”		1	3	35	1	100	23		[2021042]					镇军			20210411	[202120]															
2022041	于禁	受到伤害时，上阵1个金色“近卫”		1	3	35	1	100	23		[2022042]					镇军			20220411	[202220]															
2021051	诸葛诞	敌方阵亡后，本武将永久获得体力+1		1	3	45	1	100	1		[2021052]		诸葛诞【功獒】|体力+1			功獒			20210511																
2022051	诸葛诞	敌方阵亡后，本武将永久获得体力+2		1	3	45	1	100	1		[2022052]		诸葛诞【功獒】|体力+2			功獒			20220511																
2021061	段巧笑	招募结束时，进行判定：50%几率获得+2/+3		1	3	3	1	50	1		[2021062, 2021063]		段巧笑【华衣】|+2/+3	[15]	[17]	华衣																			
2022061	段巧笑	招募结束时，进行判定：50%几率获得+4/+6		1	3	3	1	50	1		[2022062, 2022063]		段巧笑【华衣】|+4/+6	[15]	[17]	华衣																			
2021071	司马朗	友方触发招募结束效果时，使其获得+1/+2		1	3	16	1	100	1		[2021072, 2021073]		司马朗【郡兵】|+1/+2			郡兵		1	20210711																
2022071	司马朗	友方触发招募结束效果时，使其获得+2/+4		1	3	16	1	100	1		[2022072, 2022073]		司马朗【郡兵】|+2/+4			郡兵		1	20220711																
2021081	荀彧	受到伤害时，使全体【魏】势力友方获得+1/+1		1	3	35	1	100	6	20210812	[2021082, 2021083]		荀彧【节命】|+1/+1			节命			20210811																
2022081	荀彧	受到伤害时，使全体【魏】势力友方获得+2/+2		1	3	35	1	100	6	20220812	[2022082, 2022083]		荀彧【节命】|+2/+2			节命			20220811																
2021091	张郃	友方判定成功时，使其永久获得+2/+2，否则永久获得体力+2		1	3	47	1	100	1		[2021093, 2021095]		张郃【巧变】|+2/+2		[17]	巧变		1	20210911																
2021092	张郃	失败永久获得体力+1		1	3	47	1	100	1		[2021094]		张郃【巧变】|体力+1					1	20210921																
2022091	张郃	友方判定成功时，使其永久获得+4/+4，否则永久获得体力+4		1	3	47	1	100	1		[2022093, 2022095]		张郃【巧变】|+4/+4		[17]	巧变		1	20220911																
2022092	张郃	失败永久获得体力+2		1	3	47	1	100	1		[2022094]		张郃【巧变】|体力+2					1	20220921																
2021101	曹丕	友方判定成功时，自身永久获得+4/+5		1	3	47	1	100	1		[2021102, 2021103]		曹丕【颂威】|+4/+5		[17]	颂威			20211011																
2022101	曹丕	友方判定成功时，自身永久获得+8/+10		1	3	47	1	100	1		[2022102, 2022103]		曹丕【颂威】|+8/+10		[17]	颂威			20221011																
2021111	邓艾	招募结束时，进行1次判定：75%几率获得2枚虎符		1	3	3	1	75	23		[2021112]			[15]	[17]	屯田																			
2022111	邓艾	招募结束时，进行1次判定：75%几率获得4枚虎符		1	3	3	1	75	23		[2022112]			[15]	[17]	屯田																			
2021121	甄姬	战斗开始时，进行判定：50%几率永久获得+2/+2并再次判定（至多6次）		1	3	5	1	50	1		[2021122, 2021123, 2021124]		甄姬【洛神】|+2/+2	[17]	[17]	洛神																			
2022121	甄姬	战斗开始时，进行判定：50%几率永久获得+4/+4并再次判定（至多6次）		1	3	5	1	50	1		[2022122, 2022123, 2022124]		甄姬【洛神】|+4/+4	[17]	[17]	洛神																			
2021131	郭嘉	遗计：随机获得1张锦囊牌		1	3	45	1	100	23		[2021132]			[2]	[2]	遗计			20211311																
2022131	郭嘉	遗计：随机获得2张锦囊牌		1	3	45	1	100	23		[2022132]			[2]	[2]	遗计			20221311																
2021141	曹仁	招募结束时，使全体【魏】势力友方获得+2/+3		1	3	3	1	100	6	20211412	[2021142, 2021143]		曹仁【固守】|+2/+3	[15]	[15]	据守																			
2022141	曹仁	招募结束时，使全体【魏】势力友方获得+4/+6		1	3	3	1	100	6	20221412	[2022142, 2022143]		曹仁【固守】|+4/+6	[15]	[15]	据守																			
2021151	典韦	挑衅		1	3	43	1	100	1		[2021153]			[5]	[5]																				
2021152	典韦	挑衅，受到攻击时，先对其他武将造成1点伤害		1	3	13	1	100	5	20211522	[2021154]					强袭			20211521																
2022151	典韦	挑衅		1	3	43	1	100	1		[2022153]			[5]	[5]																				
2022152	典韦	挑衅，受到攻击时，先对其他武将造成1点伤害2次		1	3	13	2	100	5	20221522	[2022154]					强袭			20221521																
2021161	戏志才	受到伤害时，进行判定：50%几率使全体友方永久获得+2/+3		1	3	35	1	50	6	20211613	[2021164, 2021165]		戏志才【筹策】|+2/+3	[17]	[17]	筹策			20211611																
2022161	戏志才	受到伤害时，进行判定：50%几率使全体友方永久获得+4/+6		1	3	35	1	50	6	20221613	[2022164, 2022165]		戏志才【筹策】|+4/+6	[17]	[17]	筹策			20221611																
2021171	曹金玉	魏势力友方受到伤害时，使2个随机魏势力友方永久获得+1/+1		1	3	35	1	100	6	20211712	[2021172, 2021173]		曹金玉【隅泣】|+1/+1			隅泣			20211711																
2022171	曹金玉	魏势力友方受到伤害时，使2个随机魏势力友方永久获得+2/+2		1	3	35	1	100	6	20221712	[2022172, 2022173]		曹金玉【隅泣】|+2/+2			隅泣			20221711																
2021181	司马懿	友方判定必定成功		1	3	46	1	100	23		[2021182]				[17]	鬼才			20211811																
2022181	司马懿	友方判定时，必定成功且使其获得永久+1/+1		1	3	46	1	100	23		[2022183]				[17]	鬼才			20221811																
2022182	司马懿	友方判定成功时使其永久+2/+2		0	3	47	1	100	1		[2022184, 2022185]		司马懿【鬼才】|+2/+2					1	20221821																
2021191	钟会	魏势力友方受到伤害时，自身永久获得+1/+2		1	3	35	1	100	1		[2021192, 2021193]		钟会【权计】|+1/+2			权计			20211911																
2022191	钟会	魏势力友方受到伤害时，自身永久获得+2/+4		1	3	35	1	100	1		[2022192, 2022193]		钟会【权计】|+2/+4			权计			20221911																
2021201	近卫	挑衅		1	3	43	1	100	1		[2021202]			[5]	[5]																				
2022201	近卫	挑衅		1	3	43	1	100	1		[2022202]			[5]	[5]																				
2021211	许褚	攻击时，获得攻击+2		1	3	9	1	100	1		[2021212]		许褚【裸衣】|攻击+2			裸衣			20212111																
2022211	许褚	攻击时，获得攻击+4		1	3	9	1	100	1		[2022212]		许褚【裸衣】|攻击+4			裸衣			20222111																
2021221	李典	战斗开始时，对相邻友方造成1点伤害，使其获得+3/+1		1	3	5	1	100	10	20212212	[2021222]		李典【忘隙】|+3/+1			忘隙					10	[2021223, 2021224]		20212213											
2022221	李典	战斗开始时，对相邻友方造成1点伤害，使其获得+6/+2		1	3	5	1	100	10	20222212	[2022222]		李典【忘隙】|+6/+2			忘隙					10	[2022223, 2022224]		20222213											
2021231	薛灵芸	受到伤害时，进行判定：50%几率永久获得+1/+2		1	3	35	1	50	1		[2021232, 2021233]		薛灵芸【霞泪】|+1/+2	[17]	[17]	霞泪			20212311																
2022231	薛灵芸	受到伤害时，进行判定：50%几率永久获得+2/+4		1	3	35	1	50	1		[2022232, 2022233]		薛灵芸【霞泪】|+2/+4	[17]	[17]	霞泪			20222311																
2021241	王双	咆哮。		1	3	43	1	100	1		[2021243]			[9]	[9]																				
2021242	王双	攻击时，进行判定：50%几率获得等于自身体力的攻击		1	3	9	1	50	1		[2021244]		王双【追猎】|获得等于自身体力的攻击	[17]	[17]	追猎			20212421																
2022241	王双	咆哮。		1	3	43	1	100	1		[2022243]			[9]	[9]																				
2022242	王双	攻击时，进行判定：50%几率获得等于自身体力2倍的攻击		1	3	9	1	50	1		[2022244]		王双【追猎】|获得等于自身体力2倍的攻击	[17]	[17]	追猎			20222421																
2031011	刘虞	遣散后，使升级营帐消耗的虎符数-1		1	3	22	1	100	23		[2031012]					绥抚			20310111																
2032011	刘虞	遣散后，使升级营帐消耗的虎符数-2		1	3	22	1	100	23		[2032012]					绥抚			20320111																
2031021	王粲	遗计：使全体敌方获得-1/-1		1	3	45	1	100	7	20310212	[2031022, 2031023]		王粲【七哀】|-1/-1	[2]	[2]	七哀			20310211																
2032021	王粲	遗计：使全体敌方获得-2/-2		1	3	45	1	100	7	20320212	[2032022, 2032023]		王粲【七哀】|-2/-2	[2]	[2]	七哀			20320211																
2031031	许贡	遗计：上阵3个“刺客”		1	3	45	1	100	23		[2031032]			[2]	[2]	业仇			20310311	[203126]															
2032031	许贡	遗计：上阵3个金色“刺客”		1	3	45	1	100	23		[2032032]			[2]	[2]	业仇			20320311	[203226]															
2031041	邹氏	招募结束时，使升级营帐消耗的虎符数-1		1	3	3	1	100	23		[2031042]			[15]		倾城																			
2032041	邹氏	招募结束时，使升级营帐消耗的虎符数-2		1	3	3	1	100	23		[2032042]			[15]		倾城																			
2031051	蔡邕	遣散后，挑选1张锦囊牌		1	3	22	1	100	23		[2031052]					通博			20310511																
2032051	蔡邕	遣散后，挑选1张锦囊牌2次		1	3	22	1	100	23		[2032052]					通博			20320511																
2031061	陈登	御策。		1	3	43	1	100	1		[2031063]			[7]	[7]																				
2031062	陈登	遗计：使1个其他友方获得御策		1	3	45	1	100	6	20310622	[2031064]			[2]	[2]	扶援			20310621																
2032061	陈登	御策。		1	3	43	1	100	1		[2032063]			[7]	[7]																				
2032062	陈登	遗计：使2个其他友方获得御策		1	3	45	1	100	6	20320622	[2032064]			[2]	[2]	扶援			20320621																
2031071	士燮	当先：使相邻友方获得挑衅与+1/+2		1	3	39	1	100	10	20310712	[2031072, 2031073, 2031074]		士燮【礼下】|+1/+2	[3]	[3]	礼下																			
2032071	士燮	当先：使相邻友方获得挑衅与+2/+4		1	3	39	1	100	10	20320712	[2032072, 2032073, 2032074]		士燮【礼下】|+2/+4	[3]	[3]	礼下																			
2031081	邢道荣	挑衅。		1	3	43	1	100	1		[2031083]			[5]	[5]																				
2031082	邢道荣	受到伤害时，使全体友方获得攻击+1		1	3	35	1	100	6	20310822	[2031084]		邢道荣【虚猲】|攻击+1			虚羯			20310821																
2032081	邢道荣	挑衅。		1	3	43	1	100	1		[2032083]			[5]	[5]																				
2032082	邢道荣	受到伤害时，使全体友方获得攻击+2		1	3	35	1	100	6	20320822	[2032084]		邢道荣【虚猲】|攻击+2			虚羯			20320821																
2031091	胡车儿	战斗开始时，使攻击最高的敌方获得攻击-8		1	3	5	1	100	9	20310912	[2031092]		胡车儿【盗戟】|攻击-8			盗戟																			
2032091	胡车儿	战斗开始时，使攻击最高的敌方获得攻击-16		1	3	5	1	100	9	20320912	[2032092]		胡车儿【盗戟】|攻击-16			盗戟																			
2031101	潘凤	挑衅。		1	3	43	1	100	1		[2031103]			[5]	[5]																				
2031102	潘凤	当先：使具有挑衅的友方获得+2/+3		1	3	39	1	100	6	20311022	[2031104, 2031105]		潘凤【狂斧】|+2/+3	[3]	[3]	狂斧																			
2032101	潘凤	挑衅。		1	3	43	1	100	1		[2032103]			[5]	[5]																				
2032102	潘凤	当先：使具有挑衅的友方获得+4/+6		1	3	39	1	100	6	20321022	[2032104, 2032105]		潘凤【狂斧】|+4/+6	[3]	[3]	狂斧																			
2031111	司马徽	当先：将1个友方变化为等级+1的武将		1	3	39	1	100	21		[2031112]			[3]	[3]	荐杰							选择一名友方，将其变化为等级+1的武将												
2032111	司马徽	当先：将1个友方变化为等级+2的武将		1	3	39	1	100	21		[2032112]			[3]	[3]	荐杰							选择一名友方，将其变化为等级+2的武将												
2031121	吴普	战斗开始时，使全体友方获得+3/+3		1	3	5	1	100	6	20311212	[2031122, 2031123]		吴普【锻体】|+3/+3			锻体																			
2032121	吴普	战斗开始时，使全体友方获得+6/+6		1	3	5	1	100	6	20321212	[2032122, 2032123]		吴普【锻体】|+6/+6			锻体																			
2031131	蔡文姬	遗计：使击败你的武将的属性变为1/1		1	3	45	1	100	25		[2031132, 2031133]		蔡文姬【断肠】|属性变为1/1	[2]	[2]	断肠			20311311																
2032131	蔡文姬	遗计：使击败你的武将的属性变为1/1		1	3	45	1	100	25		[2032132, 2032133]		蔡文姬【断肠】|属性变为1/1	[2]	[2]	断肠			20321311																
2031141	陈珪	敌方攻击时，使其获得-3/-3，右侧友方获得+3/+3		1	3	9	1	100	26		[2031142, 2031143]		陈珪【营图】|敌方获得-3/-3，右侧友方获得+3/+3			营图			20311411		10	[2031144, 2031145]		20311413											
2032141	陈珪	敌方攻击时，使其获得-6/-6，右侧友方获得+6/+6		1	3	9	1	100	26		[2032142, 2032143]		陈珪【营图】|敌方获得-6/-6，右侧友方获得+6/+6			营图			20321411		10	[2032144, 2032145]		20321413											
2031151	韩馥	招募结束时，使具有挑衅的友方获得+3/+3		1	3	3	1	100	6	20311512	[2031152, 2031153]		韩馥【节应】|+3/+3	[15]	[5]	节应																			
2032151	韩馥	招募结束时，使具有挑衅的友方获得+6/+6		1	3	3	1	100	6	20321512	[2032152, 2032153]		韩馥【节应】|+6/+6	[15]	[5]	节应																			
2031154	韩馥	挑衅		1	3	43	1	100	1		[2031155]			[5]	[5]																				
2032154	韩馥	挑衅		1	3	43	1	100	1		[2032155]			[5]	[5]																				
2031161	华佗	当先：使1个友方获得体力+12		1	3	39	1	100	21		[2031162]		华佗【青囊】|体力+12	[3]	[3]	青囊							选择一名友方，使其获得体力+12												
2032161	华佗	当先：使1个友方获得体力+24		1	3	39	1	100	21		[2032162]		华佗【青囊】|体力+24	[3]	[3]	青囊							选择一名友方，使其获得体力+24												
2031171	刘表	友方的招募结束效果触发2次		0	3	16	1	100	1		[2031172]				[16]			1	20311711						2032171										
2032171	刘表	友方的招募结束效果触发3次		0	3	16	1	100	1		[2032172]				[16]			1	20321711																
2031181	庞德公	遣散后，触发其他友方的招募结束效果		1	3	22	1	100	6	20311812	[2031182]					和洽			20311811																
2032181	庞德公	遣散后，触发其他友方的招募结束效果2次		1	3	22	1	100	6	20321812	[2032182]					和洽			20321811																
2031191	于吉	友方的遗计效果触发2次		0	3	16	1	100	1		[2031192]				[2, 16]			1	20311911						2032191										
2032191	于吉	友方的遗计效果触发3次		0	3	16	1	100	1		[2032192]				[2, 16]			1	20321911																
2031201	贾诩	当先：挑选1张等级6的锦囊		1	3	39	1	100	23		[2031202]			[3]	[3]	慎略																			
2032201	贾诩	当先：挑选1张等级6的锦囊2次		1	3	39	1	100	23		[2032202]			[3]	[3]	慎略																			
2031211	吕布	攻击时免疫伤害。		1	3	9	1	100	1		[2031214]								20312111																
2031212	吕布	攻击时免疫伤害（移除）。		1	3	10	1	100	1		[2031215]								20312121																
2031213	吕布	攻击同时对目标两侧的武将造成伤害（顺劈）		1	3	43	1	100	1		[2031216]					无双																			
2032211	吕布	攻击时免疫伤害。		1	3	9	1	100	1		[2032214]								20322111																
2032212	吕布	攻击时免疫伤害（移除）。		1	3	10	1	100	1		[2032215]								20322121																
2032213	吕布	攻击同时对目标两侧的武将造成伤害（顺劈）		1	3	43	1	100	1		[2032216]					无双																			
2031221	祢衡	友方的当先效果触发2次		0	3	16	1	100	1		[2031222]				[16, 3]	狂才		1	20312211						2032221										
2032221	祢衡	友方的当先效果触发3次		0	3	16	1	100	1		[2032222]				[16, 3]	狂才		1	20322211																
2031231	南华老仙	你使用一张锦囊牌后，使随机4个友方获得+2/+2		1	3	24	1	100	6	20312312	[2031232, 2031233]		南华老仙【共修】|+2/+2			共修			20312311																
2032231	南华老仙	你使用一张锦囊牌后，使随机4个友方获得+4/+4		1	3	24	1	100	6	20322312	[2032232, 2032233]		南华老仙【共修】|+4/+4			共修			20322311																
2031241	许劭	遣散后，挑选1个等级6的武将		1	3	22	1	100	23		[2031242]								20312411																
2032241	许劭	遣散后，挑选1个等级6的武将2次		1	3	22	1	100	23		[2032242]								20322411																
2032251	左慈-金	当先：将1个友方变为金色		1	3	39	1	100	21		[2032252]			[3]	[3]	化身																			
2041011	吴兰	当先：上阵1个“雷铜”		1	3	39	1	100	23		[2041012]			[3]	[3]	挫锐				[204120]															
2042011	吴兰	当先：上阵2个“雷铜”		1	3	39	1	100	23		[2042012]			[3]	[3]	挫锐				[204220]															
